raw_label,clean_label
Glaucoma positive.,Glaucoma positive
Glaucoma positive.,Glaucoma positive
Glaucoma positive.,Glaucoma positive
Glaucoma positive.,Glaucoma positive
Conjunctivitis positive.,Conjunctivitis positive
Glaucoma positive.,Glaucoma positive
Glaucoma positive.,Glaucoma positive
Glaucoma positive.,Glaucoma positive
Glaucoma positive.,Glaucoma positive
Glaucoma positive.,Glaucoma positive
Glaucoma positive.,Glaucoma positive
Glaucoma positive.,Glaucoma positive
Conjunctivitis positive.,Conjunctivitis positive
Glaucoma positive.,Glaucoma positive
Conjunctivitis positive.,Conjunctivitis positive
Glaucoma positive.,Glaucoma positive
Glaucoma positive.,Glaucoma positive
Glaucoma positive.,Glaucoma positive
Glaucoma positive.,Glaucoma positive
Glaucoma positive.,Glaucoma positive
Conjunctivitis positive.,Conjunctivitis positive
Glaucoma positive.,Glaucoma positive
Glaucoma positive.,Glaucoma positive
The abnormality shown in this image is an inflammation.,An inflammation
The abnormality shown in this image is a hernia.,A hernia
The abnormality shown in this image is a hernia.,A hernia
The abnormality shown in this image is a hernia.,A hernia
The abnormality shown in this image is a hernia.,A hernia
The abnormality shown in this image is a cyst.,A cyst
The abnormality shown in this image is a congenital anomaly.,A congenital anomaly
The abnormality shown in this image is a congenital anomaly.,A congenital anomaly
The abnormality shown in this image is a fracture.,A fracture
The abnormality shown in this image is an infection.,An infection
The abnormality shown in this image is an inflammation.,An inflammation
The abnormality shown in this image is a tumor.,A tumor
The abnormality shown in this image is an inflammation.,An inflammation
The abnormality shown in this image is an inflammation.,An inflammation
The abnormality shown in this image is an infection.,An infection
The abnormality shown in this image is an infection.,An infection
The abnormality shown in this image is a cyst.,A cyst
The abnormality shown in this image is an inflammation.,An inflammation
The abnormality shown in this image is a hernia.,A hernia
The abnormality shown in this image is a cyst.,A cyst
The abnormality shown in this image is an enlarged organ.,An enlarged organ
The abnormality shown in this image is a hernia.,A hernia
The abnormality shown in this image is a congenital anomaly.,A congenital anomaly
The abnormality shown in this image is an enlarged organ.,An enlarged organ
The abnormality shown in this image is a cyst.,A cyst
The abnormality shown in this image is an infection.,An infection
The abnormality shown in this image is a tumor.,A tumor
The abnormality shown in this image is a blood clot.,A blood clot
The abnormality shown in this image is a congenital anomaly.,A congenital anomaly
The abnormality shown in this image is a blood clot.,A blood clot
The abnormality shown in this image is a blockage in the blood vessels.,A blockage in the blood vessels
The abnormality shown in this image is a blockage in the blood vessels.,A blockage in the blood vessels
The abnormality shown in this image is an inflammation.,An inflammation
Malignant colon histopathology.,Malignant colon histopathology
Inflammatory bowel histopathology.,Inflammatory bowel histopathology
Malignant lung histopathology.,Malignant lung histopathology
Malignant lung histopathology.,Malignant lung histopathology
Malignant lung histopathology.,Malignant lung histopathology
Inflammatory bowel histopathology.,Inflammatory bowel histopathology
Malignant lung histopathology.,Malignant lung histopathology
Inflammatory bowel histopathology.,Inflammatory bowel histopathology
Malignant colon histopathology.,Malignant colon histopathology
