raw_label
This image displays a normal fundus with low myopia.
"in this image, there are no apparent abnormalities. it represents a normal or fundus of high myopia"
Non-malignant melanoma
Fuzzy fundus without proliferative diabetic retinopathy (PDR)
Unclear fundus without proliferative diabetic retinopathy (PDR)
Blurred fundus with proliferative diabetic retinopathy (PDR)
Blur fundus without proliferative diabetic retinopathy (PDR)
Hazy fundus without proliferative diabetic retinopathy (PDR)
Smudged fundus without proliferative diabetic retinopathy (PDR)
Obfuscated fundus without proliferative diabetic retinopathy (PDR)
123 456
IJK LMN
Malignant breast histopathology.,346
